MemberID,EventDay,CreatedDate,BikeSteps,WalkSteps,SwimSteps,OtherSteps,TotalSteps,SpeedCheck,Channel,DeviceType,CheaterProb,ProgramDate
7300763,1,42879.80451,0,11289,0,0,11289,Regular,PH,Manual,1,24/05/2017
7063310,1,42879.8618,0,14623,0,0,14623,Regular,PH,Sync,1,24/05/2017
7219310,1,42879.90855,0,12785,0,0,12785,Regular,PH,Manual,0,24/05/2017
7279739,1,42879.92614,0,11439,0,0,11439,Regular,WB,Manual,2,24/05/2017
6685045,1,42879.95537,0,11451,0,0,11451,Regular,PH,Sync,3,24/05/2017
6976759,1,42879.95582,0,12108,0,0,12108,Regular,AD,Sync,0,24/05/2017
7173396,1,42879.95988,0,13300,0,0,13300,Regular,PH,Manual,1,24/05/2017
6955910,1,42879.96803,0,1988,0,0,1988,Regular,PH,Manual,0,24/05/2017
7317249,1,42879.98261,0,16237,0,0,16237,Regular,PH,Manual,4,24/05/2017
5594922,1,42879.99496,7824,13489,0,0,21313,Regular,PH,Manual,4,24/05/2017
7128290,1,42880.0018,0,3452,0,0,3452,Regular,PH,Sync,0,24/05/2017
7029331,1,42880.10724,0,11906,0,0,11906,Regular,AD,Manual,1,24/05/2017
5245094,1,42880.14366,0,9177,0,0,9177,Regular,WB,GM,1,24/05/2017
6977820,1,42880.14813,0,11671,0,0,11671,Regular,AD,Sync,4,24/05/2017
6615465,1,42880.14982,0,7997,0,0,7997,Regular,PH,Sync,0,24/05/2017
5319922,1,42880.20089,0,11330,0,0,11330,Regular,AD,Sync,1,24/05/2017
6895576,1,42880.20728,0,11932,0,0,11932,Regular,AD,Manual,0,24/05/2017
6437363,1,42880.21873,0,10924,0,0,10924,Regular,PH,Manual,3,24/05/2017
7280812,1,42880.22125,0,11493,0,0,11493,Regular,PH,Manual,0,24/05/2017
7245543,1,42880.22694,3044,11011,0,0,14055,Regular,PH,FB,1,24/05/2017
7259163,1,42880.22697,4927,9197,0,0,14124,Regular,PH,Sync,1,24/05/2017
6598351,1,42880.22966,0,2272,0,0,2272,Regular,PH,Manual,0,24/05/2017
4883518,1,42880.23247,0,11846,0,0,11846,Regular,AD,Manual,0,24/05/2017
7208449,1,42880.23712,0,26935,0,0,26935,Regular,AD,Sync,3,24/05/2017
6758498,1,42880.24235,0,12869,0,0,12869,Regular,PH,Manual,2,24/05/2017
7088637,1,42880.24725,0,13375,0,0,13375,Regular,AD,Manual,2,24/05/2017
7273151,1,42880.25158,0,11763,0,0,11763,Regular,AD,Sync,2,24/05/2017
6432698,1,42880.27019,0,25370,0,0,25370,Regular,AD,Sync,4,24/05/2017
7180061,1,42880.27831,0,12357,0,0,12357,Regular,AD,Sync,1,24/05/2017
