"MemberID","EventDay","CreatedDate","BikeSteps","WalkSteps","SwimSteps","OtherSteps","TotalSteps","SpeedCheck","Channel","DeviceType","ProgramDate","CheaterProb"
49096,2,42881.35481,0,6800,0,0,6800,"Regular","AD","Manual","2017-05-25",3
49096,1,42881.35481,0,6000,0,0,6000,"Regular","AD","Manual","2017-05-24",2
49096,3,42885.41514,0,3727,0,0,3727,"Regular","AD","Sync","2017-05-26",2
49096,5,42885.41514,0,11247,0,0,11247,"Regular","AD","Sync","2017-05-28",5
49096,4,42885.41514,0,3203,0,0,3203,"Regular","AD","Sync","2017-05-27",2
49096,6,42885.41514,0,9368,0,0,9368,"Regular","AD","Sync","2017-05-29",4
49096,7,42887.36847,0,7861,0,0,7861,"Regular","AD","Sync","2017-05-30",3
49096,8,42887.36847,0,3906,0,0,3906,"Regular","AD","Sync","2017-05-31",2
49096,9,42888.39915,7242,10256,0,0,17498,"Regular","AD","Sync","2017-06-01",12
49096,12,42891.81022,0,3652,0,0,3652,"Regular","AD","Sync","2017-06-04",2
49096,10,42891.81022,0,10502,0,0,10502,"Regular","AD","Sync","2017-06-02",5
49096,11,42891.81022,0,3577,0,0,3577,"Regular","AD","Sync","2017-06-03",2
49096,15,42897.71881,0,8468,0,0,8468,"Regular","AD","Manual","2017-06-07",4
49096,13,42897.71881,0,8040,0,0,8040,"Regular","AD","Manual","2017-06-05",3
49096,14,42897.71881,0,7203,0,0,7203,"Regular","AD","Manual","2017-06-06",3
49096,18,42897.71881,0,5270,0,0,5270,"Regular","AD","Manual","2017-06-10",2
49096,16,42897.71881,0,7534,0,0,7534,"Regular","AD","Manual","2017-06-08",3
49096,17,42897.71881,0,8391,0,0,8391,"Regular","AD","Manual","2017-06-09",4
86993,1,42880.28959,0,7653,0,0,7653,"Regular","WB","Manual","2017-05-24",1
86993,2,42881.28066,0,10036,0,0,10036,"Regular","WB","Manual","2017-05-25",2
86993,3,42882.34097,0,10446,0,0,10446,"Regular","WB","Manual","2017-05-26",2
86993,4,42883.94896,0,3041,0,0,3041,"Regular","WB","Manual","2017-05-27",1
86993,5,42884.37995,0,10069,0,0,10069,"Regular","WB","Manual","2017-05-28",2
86993,6,42885.28282,0,4009,0,0,4009,"Regular","WB","Manual","2017-05-29",1
86993,7,42886.28082,0,11049,0,0,11049,"Regular","WB","Manual","2017-05-30",2
86993,8,42887.2798,0,12107,0,0,12107,"Regular","WB","Manual","2017-05-31",2
86993,9,42888.28916,0,12147,0,0,12147,"Regular","WB","Manual","2017-06-01",2
86993,11,42890.34305,0,9174,0,0,9174,"Regular","WB","Manual","2017-06-03",2
86993,10,42890.34305,0,10860,0,0,10860,"Regular","WB","Manual","2017-06-02",2
86993,12,42891.29689,0,1012,0,0,1012,"Regular","WB","Manual","2017-06-04",0
86993,13,42892.29356,0,10045,0,0,10045,"Regular","WB","Manual","2017-06-05",2
86993,14,42893.5068,0,9387,0,0,9387,"Regular","WB","Manual","2017-06-06",2
86993,15,42894.26341,0,10767,0,0,10767,"Regular","WB","Manual","2017-06-07",2
86993,16,42895.27845,0,12437,0,0,12437,"Regular","WB","Manual","2017-06-08",3
86993,17,42896.33778,0,10036,0,0,10036,"Regular","WB","Manual","2017-06-09",2
86993,18,42897.34313,0,2100,0,0,2100,"Regular","WB","Manual","2017-06-10",1
86993,19,42898.49643,0,2800,0,0,2800,"Regular","WB","Manual","2017-06-11",1
86993,20,42901.69226,0,8378,0,0,8378,"Regular","WB","Manual","2017-06-12",1
86993,21,42901.69226,0,8378,0,0,8378,"Regular","WB","Manual","2017-06-13",1
86993,22,42901.69226,0,8378,0,0,8378,"Regular","WB","Manual","2017-06-14",1
86993,23,42903.43533,0,8378,0,0,8378,"Regular","WB","Manual","2017-06-15",1
86993,24,42903.43533,0,8378,0,0,8378,"Regular","WB","Manual","2017-06-16",1
86993,25,42909.42394,0,12042,0,0,12042,"Regular","WB","Manual","2017-06-17",2
86993,27,42909.42394,0,6082,0,0,6082,"Regular","WB","Manual","2017-06-19",1
86993,26,42909.42394,0,4028,0,0,4028,"Regular","WB","Manual","2017-06-18",1
86993,30,42909.42394,0,8379,0,0,8379,"Regular","WB","Manual","2017-06-22",1
86993,29,42909.42394,0,15569,0,0,15569,"Regular","WB","Manual","2017-06-21",4
86993,28,42909.42394,0,4391,0,0,4391,"Regular","WB","Manual","2017-06-20",1
86993,32,42912.71002,0,14734,0,0,14734,"Regular","WB","Manual","2017-06-24",4
86993,31,42912.71003,0,6482,0,0,6482,"Regular","WB","Manual","2017-06-23",1
86993,33,42912.71002,0,14562,0,0,14562,"Regular","WB","Manual","2017-06-25",3
86993,34,42914.27026,0,10926,0,0,10926,"Regular","WB","Manual","2017-06-26",2
86993,35,42914.27026,0,12037,0,0,12037,"Regular","WB","Manual","2017-06-27",2
86993,36,42916.28219,0,10573,0,0,10573,"Regular","WB","Manual","2017-06-28",2
86993,37,42916.28219,0,13534,0,0,13534,"Regular","WB","Manual","2017-06-29",3
86993,38,42919.28416,0,10042,0,0,10042,"Regular","WB","Manual","2017-06-30",2
86993,40,42919.28416,0,23636,0,0,23636,"Regular","WB","Manual","2017-07-02",12
86993,39,42919.28416,0,14746,0,0,14746,"Regular","WB","Manual","2017-07-01",4
86993,43,42929.26236,0,10036,0,0,10036,"Regular","WB","Manual","2017-07-05",2
86993,41,42929.26236,0,7285,0,0,7285,"Regular","WB","Manual","2017-07-03",1
86993,42,42929.26236,0,10745,0,0,10745,"Regular","WB","Manual","2017-07-04",2
86993,44,42929.26236,0,12047,0,0,12047,"Regular","WB","Manual","2017-07-06",2
86993,47,42929.26236,0,22619,0,0,22619,"Regular","WB","Manual","2017-07-09",11
86993,46,42929.26236,0,5937,0,0,5937,"Regular","WB","Manual","2017-07-08",1
86993,48,42929.26236,0,14836,0,0,14836,"Regular","WB","Manual","2017-07-10",4
86993,45,42929.26236,0,13926,0,0,13926,"Regular","WB","Manual","2017-07-07",3
86993,50,42929.26236,0,10836,0,0,10836,"Regular","WB","Manual","2017-07-12",2
86993,49,42929.26236,0,9261,0,0,9261,"Regular","WB","Manual","2017-07-11",2
86993,51,42933.27755,0,12057,0,0,12057,"Regular","WB","Manual","2017-07-13",2
86993,52,42933.27755,0,10372,0,0,10372,"Regular","WB","Manual","2017-07-14",2
86993,53,42933.27755,0,18462,0,0,18462,"Regular","WB","Manual","2017-07-15",6
86993,54,42933.27755,0,6284,0,0,6284,"Regular","WB","Manual","2017-07-16",1
86993,55,42935.28034,0,10375,0,0,10375,"Regular","WB","Manual","2017-07-17",2
86993,56,42935.28034,0,11035,0,0,11035,"Regular","WB","Manual","2017-07-18",2
86993,57,42936.27842,0,16394,0,0,16394,"Regular","WB","Manual","2017-07-19",5
86993,58,42937.26672,0,22917,0,0,22917,"Regular","WB","Manual","2017-07-20",11
86993,59,42940.30112,0,9365,0,0,9365,"Regular","WB","Manual","2017-07-21",2
86993,60,42940.30112,0,18406,0,0,18406,"Regular","WB","Manual","2017-07-22",6
86993,61,42940.30112,0,10375,0,0,10375,"Regular","WB","Manual","2017-07-23",2
86993,62,42941.29116,0,11673,0,0,11673,"Regular","WB","Manual","2017-07-24",2
86993,64,42947.36082,0,6038,0,0,6038,"Regular","WB","Manual","2017-07-26",1
86993,63,42947.36082,0,13453,0,0,13453,"Regular","WB","Manual","2017-07-25",3
86993,67,42947.36082,0,12038,0,0,12038,"Regular","WB","Manual","2017-07-29",2
86993,68,42947.36082,0,25937,0,0,25937,"Regular","WB","Manual","2017-07-30",17
86993,65,42947.36082,0,7927,0,0,7927,"Regular","WB","Manual","2017-07-27",1
86993,66,42947.36082,0,10242,0,0,10242,"Regular","WB","Manual","2017-07-28",2
86993,72,42958.69436,0,10374,0,0,10374,"Regular","WB","Manual","2017-08-03",2
86993,70,42958.69436,0,8395,0,0,8395,"Regular","WB","Manual","2017-08-01",1
86993,71,42958.69436,0,12589,0,0,12589,"Regular","WB","Manual","2017-08-02",3
86993,69,42958.69436,0,10243,0,0,10243,"Regular","WB","Manual","2017-07-31",2
86993,76,42958.69436,0,19364,0,0,19364,"Regular","WB","Manual","2017-08-07",7
86993,75,42958.69436,0,10474,0,0,10474,"Regular","WB","Manual","2017-08-06",2
86993,73,42958.69436,0,11847,0,0,11847,"Regular","WB","Manual","2017-08-04",2
86993,74,42958.69436,0,25384,0,0,25384,"Regular","WB","Manual","2017-08-05",15
86993,77,42958.69436,0,14027,0,0,14027,"Regular","WB","Manual","2017-08-08",3
86993,78,42958.69436,0,10462,0,0,10462,"Regular","WB","Manual","2017-08-09",2
86993,79,42958.69436,0,10472,0,0,10472,"Regular","WB","Manual","2017-08-10",2
86993,80,42962.69928,0,10365,0,0,10365,"Regular","WB","Manual","2017-08-11",2
86993,84,42970.29306,0,14937,0,0,14937,"Regular","WB","Manual","2017-08-15",4
86993,82,42962.69928,0,19475,0,0,19475,"Regular","WB","Manual","2017-08-13",7
86993,83,42962.69928,0,10475,0,0,10475,"Regular","WB","Manual","2017-08-14",2
86993,81,42962.69928,0,18573,0,0,18573,"Regular","WB","Manual","2017-08-12",6
86993,88,42970.29306,0,25038,0,0,25038,"Regular","WB","Manual","2017-08-19",15
86993,87,42970.29306,0,10374,0,0,10374,"Regular","WB","Manual","2017-08-18",2
86993,85,42970.29306,0,11047,0,0,11047,"Regular","WB","Manual","2017-08-16",2
86993,86,42970.29306,0,14738,0,0,14738,"Regular","WB","Manual","2017-08-17",4
